,City,Country,Coordinates,Max Temperature,Humidity,Pressure,Cloudiness,Wind Speed,Date,Latitude
0,Chulym,RU,"{'lon': 80.9572, 'lat': 55.0997}",35.56,85,1017,98,21.83,2021-10-23 03:22:56,55.0997
1,Coolum Beach,AU,"{'lon': 153.1, 'lat': -26.5333}",88.34,79,1013,14,12.37,2021-10-23 03:22:56,-26.5333
2,Cockburn Town,TC,"{'lon': -71.1419, 'lat': 21.4612}",83.46,75,1016,80,19.13,2021-10-23 03:22:56,21.4612
3,Qui Nhon,VN,"{'lon': 109.2333, 'lat': 13.7667}",77.29,92,1015,100,5.86,2021-10-23 03:22:57,13.7667
4,Sitka,US,"{'lon': -135.33, 'lat': 57.0531}",46.29,71,989,90,12.66,2021-10-23 03:22:57,57.0531
5,Berlevåg,NO,"{'lon': 29.0864, 'lat': 70.8578}",33.94,62,1003,100,17.65,2021-10-23 03:22:57,70.8578
6,Mataura,NZ,"{'lon': 168.8643, 'lat': -46.1927}",72.03,39,1019,96,1.95,2021-10-23 03:22:58,-46.1927
7,Kapaa,US,"{'lon': -159.319, 'lat': 22.0752}",80.58,84,1019,90,3.0,2021-10-23 03:22:58,22.0752
8,Havre-St-Pierre,CA,"{'lon': -63.5986, 'lat': 50.2334}",50.59,100,1009,90,13.8,2021-10-23 03:22:58,50.2334
9,Saint-Philippe,RE,"{'lon': 55.7679, 'lat': -21.3585}",79.48,81,1020,37,8.28,2021-10-23 03:22:59,-21.3585
10,Atuona,PF,"{'lon': -139.0333, 'lat': -9.8}",78.1,78,1013,24,17.13,2021-10-23 03:22:59,-9.8
11,Rapu-Rapu,PH,"{'lon': 124.1256, 'lat': 13.1866}",79.36,86,1012,100,11.97,2021-10-23 03:22:59,13.1866
12,Hermanus,ZA,"{'lon': 19.2345, 'lat': -34.4187}",57.79,83,1007,100,23.78,2021-10-23 03:22:59,-34.4187
13,São Filipe,CV,"{'lon': -24.4956, 'lat': 14.8961}",80.26,65,1012,0,3.62,2021-10-23 03:23:00,14.8961
14,Rikitea,PF,"{'lon': -134.9692, 'lat': -23.1203}",74.23,83,1018,7,19.73,2021-10-23 03:23:00,-23.1203
15,Ushuaia,AR,"{'lon': -68.3, 'lat': -54.8}",38.86,93,976,75,32.21,2021-10-23 03:19:52,-54.8
16,Tilichiki,RU,"{'lon': 166.1, 'lat': 60.4667}",10.76,80,1009,18,5.91,2021-10-23 03:23:00,60.4667
17,Wellington,NZ,"{'lon': 174.7756, 'lat': -41.2866}",63.77,60,1023,92,8.05,2021-10-23 03:19:15,-41.2866
18,Zhicheng,CN,"{'lon': 111.5047, 'lat': 30.2956}",62.94,50,1028,7,3.67,2021-10-23 03:23:01,30.2956
19,Roald,NO,"{'lon': 6.1333, 'lat': 62.5833}",43.0,70,1013,20,14.97,2021-10-23 03:23:01,62.5833
20,Nikolskoye,RU,"{'lon': 30.7861, 'lat': 59.7035}",42.87,83,990,99,11.52,2021-10-23 03:23:02,59.7035
21,Sosnovo-Ozerskoye,RU,"{'lon': 111.5418, 'lat': 52.5249}",38.1,47,1022,1,7.09,2021-10-23 03:23:02,52.5249
22,Verkhnevilyuysk,RU,"{'lon': 120.3167, 'lat': 63.4453}",35.04,83,1007,92,8.86,2021-10-23 03:23:02,63.4453
23,Kerema,PG,"{'lon': 145.7785, 'lat': -7.9631}",84.42,72,1010,69,11.97,2021-10-23 03:23:03,-7.9631
24,Qinzhou,CN,"{'lon': 108.6167, 'lat': 21.95}",63.41,67,1024,93,14.79,2021-10-23 03:23:03,21.95
25,Port Blair,IN,"{'lon': 92.75, 'lat': 11.6667}",80.64,89,1013,75,5.75,2021-10-23 03:23:03,11.6667
26,Arica,CL,"{'lon': -70.3042, 'lat': -18.475}",61.03,77,1018,90,4.61,2021-10-23 03:23:03,-18.475
27,Yeppoon,AU,"{'lon': 150.7333, 'lat': -23.1333}",91.18,51,1014,4,10.74,2021-10-23 03:23:04,-23.1333
28,Kvam,NO,"{'lon': 9.6898, 'lat': 61.6656}",32.85,87,1011,15,6.4,2021-10-23 03:23:04,61.6656
29,Hobart,AU,"{'lon': 147.3294, 'lat': -42.8794}",57.02,89,1010,90,8.05,2021-10-23 03:22:45,-42.8794
30,Saint-François,FR,"{'lon': 3.9054, 'lat': 46.4154}",36.68,100,1027,90,3.44,2021-10-23 03:23:04,46.4154
31,Vila Franca do Campo,PT,"{'lon': -25.4333, 'lat': 37.7167}",68.41,85,1024,87,6.49,2021-10-23 03:23:05,37.7167
